Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,501,500,299.791810,442.869298,0.598387,0.885739
2,501,500,146.054872,205.333572,0.291527,0.410667
3,501,500,90.624422,120.426774,0.180887,0.240854
4,501,500,78.136119,104.975510,0.155960,0.209951
5,501,500,50.754560,92.104200,0.101307,0.184208
6,501,500,43.586259,83.408486,0.086999,0.166817
7,501,500,35.139752,79.064930,0.070139,0.158130
8,501,500,27.722635,65.072291,0.055335,0.130145
9,501,500,25.805175,58.436086,0.051507,0.116872
10,501,500,25.335432,59.707625,0.050570,0.119415
11,501,500,23.387123,55.268962,0.046681,0.110538
12,501,500,24.720337,56.263738,0.049342,0.112527
13,501,500,19.933721,47.664487,0.039788,0.095329
14,501,500,21.642826,70.699932,0.043199,0.141400
15,501,500,17.027595,42.873279,0.033987,0.085747
16,501,500,17.749930,43.213737,0.035429,0.086427
17,501,500,16.432093,43.277004,0.032799,0.086554
18,501,500,16.496892,41.993593,0.032928,0.083987
19,501,500,16.471257,42.219750,0.032877,0.084440
20,501,500,21.093017,43.049136,0.042102,0.086098
21,501,500,14.523728,41.221834,0.028989,0.082444
22,501,500,14.098000,37.015864,0.028140,0.074032
23,501,500,19.116413,38.594311,0.038157,0.077189
24,501,500,16.968416,35.734319,0.033869,0.071469
25,501,500,12.873319,33.535959,0.025695,0.067072
26,501,500,16.213762,32.330347,0.032363,0.064661
27,501,500,12.275581,32.026472,0.024502,0.064053
28,501,500,12.347614,32.652032,0.024646,0.065304
29,501,500,12.419998,32.439476,0.024790,0.064879
30,501,500,12.234494,32.242813,0.024420,0.064486
31,501,500,16.209373,32.964858,0.032354,0.065930
32,501,500,16.276871,38.845369,0.032489,0.077691
33,501,500,12.494007,32.109564,0.024938,0.064219
34,501,500,11.555352,32.278313,0.023065,0.064557
35,501,500,15.664810,33.762738,0.031267,0.067525
36,501,500,15.475721,32.631581,0.030890,0.065263
37,501,500,11.462205,32.142892,0.022879,0.064286
38,501,500,15.529370,32.537470,0.030997,0.065075
39,501,500,15.593353,33.022470,0.031124,0.066045
40,501,500,11.653841,32.646278,0.023261,0.065293
41,501,500,11.568296,32.814136,0.023090,0.065628
42,501,500,15.607970,33.290488,0.031154,0.066581
43,501,500,11.579639,32.485914,0.023113,0.064972
44,501,500,11.698310,32.423568,0.023350,0.064847
45,501,500,11.542638,34.201313,0.023039,0.068403
46,501,500,12.168635,34.034021,0.024289,0.068068
47,501,500,12.270281,34.837483,0.024492,0.069675
48,501,500,16.581001,34.160744,0.033096,0.068321
49,501,500,12.216165,34.157388,0.024384,0.068315
50,501,500,20.799863,40.756994,0.041517,0.081514
51,501,500,17.375114,40.399281,0.034681,0.080799
52,501,500,15.164452,39.295263,0.030268,0.078591
53,501,500,20.724282,41.069734,0.041366,0.082139
54,501,500,14.056702,39.159388,0.028057,0.078319
55,501,500,11.823435,32.407340,0.023600,0.064815
56,501,500,11.579902,32.407524,0.023114,0.064815
57,501,500,11.713515,32.343584,0.023380,0.064687
58,501,500,11.718403,32.728312,0.023390,0.065457
59,501,500,11.554554,32.199741,0.023063,0.064399
60,501,500,11.645891,32.333664,0.023245,0.064667
61,501,500,11.629429,31.915015,0.023212,0.063830
62,501,500,11.499055,31.983063,0.022952,0.063966
63,501,500,11.613748,32.310654,0.023181,0.064621
64,501,500,11.672518,31.472134,0.023298,0.062944
65,501,500,11.537463,31.742459,0.023029,0.063485
66,501,500,11.537195,31.810553,0.023028,0.063621
67,501,500,11.635424,32.424679,0.023224,0.064849
68,501,500,11.586294,32.036985,0.023126,0.064074
69,501,500,11.470987,31.772943,0.022896,0.063546
70,501,500,11.481774,32.135703,0.022918,0.064271
71,501,500,11.483914,31.888687,0.022922,0.063777
72,501,500,15.412853,33.227622,0.030764,0.066455
73,501,500,11.437928,31.935270,0.022830,0.063871
74,501,500,15.399999,32.800308,0.030739,0.065601
75,501,500,11.489998,31.538225,0.022934,0.063076
76,501,500,11.432662,31.632675,0.022820,0.063265
77,501,500,11.502163,31.525091,0.022958,0.063050
78,501,500,11.439627,32.284871,0.022834,0.064570
79,501,500,11.536050,31.959359,0.023026,0.063919
80,501,500,11.482353,32.246458,0.022919,0.064493
81,501,500,36.038506,32.609744,0.071933,0.065219
82,501,500,11.549603,32.004354,0.023053,0.064009
83,501,500,11.442495,31.510069,0.022839,0.063020
84,501,500,11.483776,32.157680,0.022922,0.064315
85,501,500,11.558422,32.206662,0.023071,0.064413
86,501,500,11.609699,31.697549,0.023173,0.063395
87,501,500,11.317140,31.513010,0.022589,0.063026
88,501,500,11.333771,31.484288,0.022622,0.062969
89,501,500,11.369544,32.018110,0.022694,0.064036
90,501,500,11.484947,32.153561,0.022924,0.064307
91,501,500,11.421458,32.580479,0.022797,0.065161
92,501,500,11.530515,32.091855,0.023015,0.064184
93,501,500,11.453307,32.077641,0.022861,0.064155
94,501,500,11.442986,32.216715,0.022840,0.064433
95,501,500,11.545748,32.687482,0.023045,0.065375
96,501,500,11.571827,32.212785,0.023097,0.064426
97,501,500,15.537078,33.348361,0.031012,0.066697
98,501,500,11.539175,32.175863,0.023032,0.064352
99,501,500,11.423452,31.679189,0.022801,0.063358
100,501,500,15.416028,32.449515,0.030771,0.064899
101,601,600,13.796445,42.093650,0.022956,0.070156
102,601,600,13.843119,40.923222,0.023033,0.068205
103,601,600,13.653811,41.501693,0.022718,0.069169
104,601,600,13.852863,42.104918,0.023050,0.070175
105,601,600,13.814008,41.467021,0.022985,0.069112
106,601,600,14.039332,42.281575,0.023360,0.070469
107,601,600,16.813588,48.105103,0.027976,0.080175
108,601,600,17.450707,50.810454,0.029036,0.084684
109,601,600,24.233823,52.805098,0.040323,0.088008
110,601,600,19.132333,48.334873,0.031834,0.080558
111,601,600,16.730443,50.782972,0.027838,0.084638
112,601,600,18.389597,42.950932,0.030598,0.071585
113,601,600,13.761611,40.956410,0.022898,0.068261
114,601,600,18.635519,42.064885,0.031008,0.070108
115,601,600,13.721087,41.484536,0.022830,0.069141
116,601,600,18.416673,42.937925,0.030643,0.071563
117,601,600,13.791759,41.139126,0.022948,0.068565
118,601,600,13.837962,42.308502,0.023025,0.070514
119,601,600,13.807559,41.257126,0.022974,0.068762
120,601,600,13.983698,41.232909,0.023267,0.068722
121,601,600,13.830334,41.287653,0.023012,0.068813
122,601,600,13.695463,41.986636,0.022788,0.069978
123,601,600,13.883043,41.178784,0.023100,0.068631
124,601,600,13.816481,41.393520,0.022989,0.068989
125,601,600,13.694173,42.263274,0.022786,0.070439
126,601,600,13.754357,42.000429,0.022886,0.070001
127,601,600,13.871085,41.346943,0.023080,0.068912
128,601,600,13.932945,41.516224,0.023183,0.069194
129,601,600,13.743053,42.002171,0.022867,0.070004
130,601,600,18.457332,42.371882,0.030711,0.070620
131,601,600,13.996123,41.692687,0.023288,0.069488
132,601,600,13.760785,41.297055,0.022896,0.068828
133,601,600,13.852834,41.874056,0.023050,0.069790
134,601,600,13.796075,41.219679,0.022955,0.068699
135,601,600,13.805186,41.296446,0.022970,0.068827
136,601,600,18.494272,42.457574,0.030772,0.070763
137,601,600,13.856042,41.271703,0.023055,0.068786
138,601,600,13.810333,41.035775,0.022979,0.068393
139,601,600,13.773246,41.211558,0.022917,0.068686
140,601,600,13.856531,41.286062,0.023056,0.068810
141,601,600,13.867519,41.826746,0.023074,0.069711
142,601,600,18.559905,41.908426,0.030882,0.069847
143,601,600,18.464329,41.835071,0.030723,0.069725
144,601,600,18.427734,41.929983,0.030662,0.069883
145,601,600,13.820550,41.230027,0.022996,0.068717
146,601,600,13.971220,41.698755,0.023247,0.069498
147,601,600,13.775301,41.966166,0.022921,0.069944
148,601,600,13.744338,42.187266,0.022869,0.070312
149,601,600,13.756945,41.500423,0.022890,0.069167
150,601,600,13.876966,41.044726,0.023090,0.068408
151,601,600,13.675449,40.839218,0.022754,0.068065
152,601,600,13.703190,41.505495,0.022801,0.069176
153,601,600,18.411604,42.487031,0.030635,0.070812
154,601,600,13.851828,41.605626,0.023048,0.069343
155,601,600,13.775414,41.202467,0.022921,0.068671
156,601,600,13.815436,41.375468,0.022987,0.068959
157,601,600,13.765569,41.241902,0.022904,0.068737
158,601,600,13.942132,41.307805,0.023198,0.068846
159,601,600,18.434928,42.159583,0.030674,0.070266
160,601,600,13.879801,41.164972,0.023095,0.068608
161,601,600,13.758018,41.559888,0.022892,0.069266
162,601,600,13.652578,41.552621,0.022716,0.069254
163,601,600,13.839496,41.093889,0.023027,0.068490
164,601,600,18.801597,43.414058,0.031284,0.072357
165,601,600,14.438972,42.718759,0.024025,0.071198
166,601,600,13.919688,41.899387,0.023161,0.069832
167,601,600,18.549261,42.407826,0.030864,0.070680
168,601,600,13.902689,41.637942,0.023133,0.069397
169,601,600,13.792840,42.190880,0.022950,0.070318
170,601,600,18.620149,42.366679,0.030982,0.070611
171,601,600,13.881862,41.115041,0.023098,0.068525
172,601,600,13.997706,42.332055,0.023291,0.070553
173,601,600,18.701817,42.721474,0.031118,0.071202
174,601,600,13.813634,41.671110,0.022984,0.069452
175,601,600,13.788180,41.200690,0.022942,0.068668
176,601,600,13.930043,41.534923,0.023178,0.069225
177,601,600,18.391265,41.939841,0.030601,0.069900
178,601,600,14.015537,40.977410,0.023320,0.068296
179,601,600,13.766793,41.335094,0.022906,0.068892
180,601,600,18.485115,42.519125,0.030757,0.070865
181,601,600,13.837706,41.038105,0.023024,0.068397
182,601,600,18.664822,42.667873,0.031056,0.071113
183,601,600,13.871584,41.839315,0.023081,0.069732
184,601,600,14.044207,42.131691,0.023368,0.070219
185,601,600,13.903163,41.522579,0.023133,0.069204
186,601,600,13.656285,41.429898,0.022723,0.069050
187,601,600,13.755066,41.607100,0.022887,0.069345
188,601,600,18.460131,42.382542,0.030716,0.070638
189,601,600,13.785859,41.454115,0.022938,0.069090
190,601,600,18.532109,42.427673,0.030835,0.070713
191,601,600,13.920072,41.731131,0.023162,0.069552
192,601,600,13.809500,40.942540,0.022978,0.068238
193,601,600,13.885658,41.255937,0.023104,0.068760
194,601,600,13.824645,41.144405,0.023003,0.068574
195,601,600,13.753822,41.274482,0.022885,0.068791
196,601,600,13.909437,41.419977,0.023144,0.069033
197,601,600,13.688601,41.176617,0.022776,0.068628
198,601,600,13.946276,41.223754,0.023205,0.068706
199,601,600,13.934916,41.397601,0.023186,0.068996
200,601,600,13.749908,41.192871,0.022878,0.068655
201,701,700,16.399277,52.033858,0.023394,0.074334
202,701,700,16.087322,51.893347,0.022949,0.074133
203,701,700,15.933365,51.745653,0.022729,0.073922
204,701,700,16.213340,51.656848,0.023129,0.073795
205,701,700,16.036193,51.391124,0.022876,0.073416
206,701,700,16.060595,52.390312,0.022911,0.074843
207,701,700,15.986285,51.569212,0.022805,0.073670
208,701,700,16.125537,51.692680,0.023004,0.073847
209,701,700,43.898770,52.027771,0.062623,0.074325
210,701,700,25.502166,78.153011,0.036380,0.111647
211,701,700,31.959606,64.905623,0.045591,0.092722
212,701,700,23.815497,56.742194,0.033974,0.081060
213,701,700,22.442570,56.220271,0.032015,0.080315
214,701,700,22.144375,52.634519,0.031590,0.075192
215,701,700,26.465703,53.526752,0.037754,0.076467
216,701,700,18.001764,52.295321,0.025680,0.074708
217,701,700,17.825224,51.367499,0.025428,0.073382
218,701,700,18.048404,52.590783,0.025747,0.075130
219,701,700,16.176177,50.970261,0.023076,0.072815
220,701,700,21.599980,51.345693,0.030813,0.073351
221,701,700,16.231762,50.288177,0.023155,0.071840
222,701,700,16.251564,51.499768,0.023183,0.073571
223,701,700,16.135580,49.885856,0.023018,0.071266
224,701,700,16.219140,49.438498,0.023137,0.070626
225,701,700,16.109540,50.048199,0.022981,0.071497
226,701,700,21.865454,51.869092,0.031192,0.074099
227,701,700,16.197402,50.912197,0.023106,0.072732
228,701,700,16.160128,51.120842,0.023053,0.073030
229,701,700,16.140836,50.776900,0.023025,0.072538
230,701,700,16.187513,49.782290,0.023092,0.071118
231,701,700,16.227555,49.868807,0.023149,0.071241
232,701,700,21.759984,51.188126,0.031041,0.073126
233,701,700,16.251350,50.040862,0.023183,0.071487
234,701,700,16.157130,51.350953,0.023049,0.073359
235,701,700,15.955173,49.671652,0.022761,0.070960
236,701,700,21.540295,51.850236,0.030728,0.074072
237,701,700,16.322756,50.171438,0.023285,0.071673
238,701,700,21.536125,51.829349,0.030722,0.074042
239,701,700,16.117087,50.737463,0.022992,0.072482
240,701,700,16.151903,50.114072,0.023041,0.071592
241,701,700,16.310973,49.965371,0.023268,0.071379
242,701,700,21.786463,51.076797,0.031079,0.072967
243,701,700,21.763646,51.440918,0.031047,0.073487
244,701,700,16.389866,49.658193,0.023381,0.070940
245,701,700,21.615476,51.264700,0.030835,0.073235
246,701,700,16.220919,75.459229,0.023140,0.107799
247,701,700,16.254857,50.782658,0.023188,0.072547
248,701,700,16.963197,50.726687,0.024199,0.072467
249,701,700,21.525427,50.933226,0.030707,0.072762
250,701,700,16.394239,50.754450,0.023387,0.072506
251,701,700,21.581462,51.395029,0.030787,0.073421
252,701,700,16.270281,49.938940,0.023210,0.071341
253,701,700,16.322016,49.921353,0.023284,0.071316
254,701,700,16.185816,50.223184,0.023090,0.071747
255,701,700,16.187527,50.800299,0.023092,0.072572
256,701,700,16.598385,50.608620,0.023678,0.072298
257,701,700,16.098363,50.263077,0.022965,0.071804
258,701,700,16.292241,50.977883,0.023241,0.072826
259,701,700,16.480524,50.296103,0.023510,0.071852
260,701,700,16.141074,50.852644,0.023026,0.072647
261,701,700,16.185347,49.864037,0.023089,0.071234
262,701,700,16.208380,49.746906,0.023122,0.071067
263,701,700,16.215204,51.428984,0.023132,0.073470
264,701,700,16.169560,49.966238,0.023066,0.071380
265,701,700,16.106281,50.140389,0.022976,0.071629
266,701,700,16.329141,49.970761,0.023294,0.071387
267,701,700,18.054868,50.226189,0.025756,0.071752
268,701,700,16.021832,49.787355,0.022856,0.071125
269,701,700,21.544633,51.758898,0.030734,0.073941
270,701,700,16.109169,50.395763,0.022980,0.071994
271,701,700,16.283522,50.487500,0.023229,0.072125
272,701,700,16.287039,50.374907,0.023234,0.071964
273,701,700,21.724466,50.742651,0.030991,0.072490
274,701,700,16.133182,50.047815,0.023015,0.071497
275,701,700,21.495538,51.242998,0.030664,0.073204
276,701,700,16.301602,49.871772,0.023255,0.071245
277,701,700,16.087064,50.449774,0.022949,0.072071
278,701,700,21.867592,51.447363,0.031195,0.073496
279,701,700,16.349229,50.565561,0.023323,0.072237
280,701,700,16.217127,50.180204,0.023134,0.071686
281,701,700,21.523087,51.568364,0.030703,0.073669
282,701,700,16.187450,50.278936,0.023092,0.071827
283,701,700,21.617566,51.285960,0.030838,0.073266
284,701,700,16.197180,49.554487,0.023106,0.070792
285,701,700,16.154850,50.323440,0.023045,0.071891
286,701,700,15.972959,50.483366,0.022786,0.072119
287,701,700,16.253451,49.574279,0.023186,0.070820
288,701,700,16.018858,49.858025,0.022851,0.071226
289,701,700,21.775174,51.554607,0.031063,0.073649
290,701,700,16.226784,49.914631,0.023148,0.071307
291,701,700,16.130953,49.775753,0.023011,0.071108
292,701,700,21.645092,52.071228,0.030877,0.074387
293,701,700,16.259384,50.741415,0.023195,0.072488
294,701,700,18.201945,51.814964,0.025966,0.074021
295,701,700,16.210586,51.196827,0.023125,0.073138
296,701,700,22.008724,51.651793,0.031396,0.073788
297,701,700,21.609741,51.877512,0.030827,0.074111
298,701,700,16.280318,50.879247,0.023224,0.072685
299,701,700,16.256762,50.777356,0.023191,0.072539
300,701,700,16.253232,50.458998,0.023186,0.072084
301,801,800,18.767286,61.173707,0.023430,0.076467
302,801,800,24.691650,62.534768,0.030826,0.078168
303,801,800,18.505360,61.702913,0.023103,0.077129
304,801,800,18.492147,61.697580,0.023086,0.077122
305,801,800,18.519850,60.820277,0.023121,0.076025
306,801,800,18.457988,60.903266,0.023044,0.076129
307,801,800,18.589321,61.214612,0.023208,0.076518
308,801,800,18.447173,61.883088,0.023030,0.077354
309,801,800,25.005728,63.577313,0.031218,0.079472
310,801,800,24.907674,62.686648,0.031096,0.078358
311,801,800,24.860439,62.994233,0.031037,0.078743
312,801,800,18.640400,61.779366,0.023271,0.077224
313,801,800,18.570093,61.259952,0.023184,0.076575
314,801,800,18.747769,62.011344,0.023405,0.077514
315,801,800,24.665034,62.908997,0.030793,0.078636
316,801,800,18.786477,61.634987,0.023454,0.077044
317,801,800,18.541171,61.574110,0.023148,0.076968
318,801,800,18.478022,61.440796,0.023069,0.076801
319,801,800,18.625282,61.783451,0.023253,0.077229
320,801,800,18.577198,61.530549,0.023193,0.076913
321,801,800,18.386655,61.521115,0.022955,0.076901
322,801,800,18.455496,60.774632,0.023041,0.075968
323,801,800,18.570719,62.255966,0.023184,0.077820
324,801,800,25.159785,62.878031,0.031410,0.078598
325,801,800,18.536336,61.681301,0.023141,0.077102
326,801,800,18.646517,61.535934,0.023279,0.076920
327,801,800,24.888120,62.956897,0.031071,0.078696
328,801,800,24.668267,63.176399,0.030797,0.078970
329,801,800,24.761653,65.815961,0.030913,0.082270
330,801,800,18.539267,61.619622,0.023145,0.077025
331,801,800,18.510238,62.058442,0.023109,0.077573
332,801,800,18.397645,60.799281,0.022968,0.075999
333,801,800,18.469716,62.159564,0.023058,0.077699
334,801,800,18.483693,61.715086,0.023076,0.077144
335,801,800,18.418748,61.974737,0.022995,0.077468
336,801,800,18.475174,61.810538,0.023065,0.077263
337,801,800,24.798886,63.663350,0.030960,0.079579
338,801,800,24.979569,62.644298,0.031185,0.078305
339,801,800,25.023828,62.868705,0.031241,0.078586
340,801,800,18.585067,62.062379,0.023202,0.077578
341,801,800,18.597522,62.136669,0.023218,0.077671
342,801,800,18.524372,61.214943,0.023127,0.076519
343,801,800,24.802036,62.990980,0.030964,0.078739
344,801,800,18.628864,61.068549,0.023257,0.076336
345,801,800,18.597421,62.243021,0.023218,0.077804
346,801,800,24.948115,62.416957,0.031146,0.078021
347,801,800,18.630133,63.561383,0.023259,0.079452
348,801,800,24.871065,62.596978,0.031050,0.078246
349,801,800,18.636233,62.006131,0.023266,0.077508
350,801,800,24.932694,62.664222,0.031127,0.078330
351,801,800,24.910856,63.366384,0.031100,0.079208
352,801,800,18.602280,61.089111,0.023224,0.076361
353,801,800,18.577321,62.077659,0.023193,0.077597
354,801,800,18.587630,60.796353,0.023206,0.075995
355,801,800,18.557578,60.783818,0.023168,0.075980
356,801,800,24.858700,63.180208,0.031035,0.078975
357,801,800,24.770875,62.395365,0.030925,0.077994
358,801,800,18.528327,60.768248,0.023131,0.075960
359,801,800,18.458430,61.074109,0.023044,0.076343
360,801,800,25.534676,63.610558,0.031878,0.079513
361,801,800,24.713318,62.884153,0.030853,0.078605
362,801,800,24.768836,62.738776,0.030922,0.078423
363,801,800,18.502008,61.174921,0.023099,0.076469
364,801,800,18.765225,61.002981,0.023427,0.076254
365,801,800,18.540415,62.190095,0.023147,0.077738
366,801,800,18.618385,61.509858,0.023244,0.076887
367,801,800,18.473442,61.426857,0.023063,0.076784
368,801,800,18.461669,61.126263,0.023048,0.076408
