Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,20030,20029,2873.347535,22523.812902,0.143452,1.124560
2,662,497,44.861417,48.716485,0.067766,0.098021
3,666,495,47.712702,63.430625,0.071641,0.128143
4,670,500,36.537814,40.368827,0.054534,0.080738
5,675,505,29.274835,36.640087,0.043370,0.072555
6,668,494,24.975193,33.846731,0.037388,0.068516
7,656,497,23.678502,33.394494,0.036095,0.067192
8,663,502,24.702888,37.925062,0.037259,0.075548
9,666,505,20.348800,28.540223,0.030554,0.056515
10,668,500,20.365803,27.679470,0.030488,0.055359
11,665,494,20.201880,25.398810,0.030379,0.051415
12,665,497,20.465527,31.411230,0.030775,0.063202
13,667,496,20.207732,25.945575,0.030296,0.052310
14,666,500,20.418751,27.619133,0.030659,0.055238
15,675,500,24.915844,29.794275,0.036912,0.059589
16,645,493,24.803164,31.253356,0.038455,0.063394
17,658,492,26.521142,32.744915,0.040306,0.066555
18,673,504,31.942875,32.978450,0.047463,0.065433
19,647,496,24.265709,35.207585,0.037505,0.070983
20,677,505,25.784558,31.204680,0.038086,0.061791
21,659,494,24.454612,31.123309,0.037109,0.063003
22,676,503,25.071480,30.602057,0.037088,0.060839
23,675,505,22.461601,26.068094,0.033276,0.051620
24,665,498,22.941573,26.332926,0.034499,0.052877
25,670,506,26.184313,26.000411,0.039081,0.051384
26,662,505,20.066983,24.213217,0.030313,0.047947
27,661,495,19.894026,24.015940,0.030097,0.048517
28,660,490,19.810632,24.723575,0.030016,0.050456
29,679,503,20.515383,24.361539,0.030214,0.048432
30,679,501,20.887361,27.198724,0.030762,0.054289
31,667,505,20.977399,26.863814,0.031450,0.053196
32,660,497,20.100813,25.681147,0.030456,0.051672
33,673,498,21.618997,26.697470,0.032123,0.053609
34,665,498,20.012839,24.128081,0.030094,0.048450
35,671,506,20.452823,26.112894,0.030481,0.051607
36,664,498,19.657098,24.281017,0.029604,0.048757
37,664,495,19.708195,24.032283,0.029681,0.048550
38,673,505,19.734104,23.862515,0.029323,0.047253
39,667,498,19.597306,25.079967,0.029381,0.050361
40,667,502,135.102765,210.849992,0.202553,0.420020
41,657,493,75.734821,94.112213,0.115274,0.190897
42,666,504,104.785897,191.663456,0.157336,0.380285
43,664,491,86.147437,91.986810,0.129740,0.187346
44,670,502,76.040256,98.192330,0.113493,0.195602
45,665,504,75.480989,95.428625,0.113505,0.189343
46,652,496,74.556316,96.527824,0.114350,0.194613
47,679,503,77.061003,103.974250,0.113492,0.206708
48,653,493,73.727924,92.011074,0.112906,0.186635
49,673,499,75.839687,93.523767,0.112689,0.187422
50,687,516,77.420324,112.281271,0.112693,0.217599
51,745,559,84.628833,103.938553,0.113596,0.185937
52,734,549,84.023157,100.778183,0.114473,0.183567
53,747,552,85.150443,102.162371,0.113990,0.185077
54,741,549,84.340600,98.585101,0.113820,0.179572
55,721,539,81.745330,100.575224,0.113378,0.186596
56,743,557,84.243167,107.999124,0.113382,0.193894
57,737,549,83.605130,102.744288,0.113440,0.187148
58,742,553,91.898075,147.913323,0.123852,0.267474
59,736,552,119.666610,149.150748,0.162591,0.270201
60,729,545,146.294008,136.315160,0.200678,0.250120
61,737,555,88.500196,115.628470,0.120082,0.208340
62,726,549,115.993293,117.848070,0.159770,0.214660
63,728,552,83.196327,99.779891,0.114281,0.180761
64,735,556,84.448187,102.562911,0.114895,0.184466
65,719,543,83.366192,102.626277,0.115947,0.188999
66,737,548,84.981042,103.790742,0.115307,0.189399
67,717,544,84.359723,98.761605,0.117657,0.181547
68,726,549,83.587009,98.735150,0.115134,0.179845
69,731,552,83.983952,101.962711,0.114889,0.184715
70,745,550,85.615661,101.480182,0.114920,0.184509
71,742,546,85.058757,100.057821,0.114634,0.183256
72,717,549,82.027017,103.151225,0.114403,0.187889
73,745,555,84.123525,103.818964,0.112917,0.187061
74,724,546,81.508782,97.001681,0.112581,0.177659
75,735,549,85.452001,97.737119,0.116261,0.178028
76,730,548,81.867466,99.406115,0.112147,0.181398
77,734,554,83.510643,103.384779,0.113775,0.186615
78,732,551,82.455333,100.766183,0.112644,0.182879
79,726,546,82.764335,99.967556,0.114000,0.183091
80,736,551,83.861598,102.356958,0.113942,0.185766
81,746,561,91.155895,101.777442,0.122193,0.181421
82,725,538,88.632212,103.377539,0.122251,0.192152
83,733,551,87.134533,117.467546,0.118874,0.213190
84,730,550,84.612560,102.976596,0.115908,0.187230
85,744,554,84.425522,101.863552,0.113475,0.183869
86,739,550,85.610329,102.585023,0.115846,0.186518
87,735,548,83.334836,103.273111,0.113381,0.188455
88,740,555,1905.936752,101.442680,2.575590,0.182780
89,729,550,21.397736,31.107369,0.029352,0.056559
90,725,545,21.224162,26.102546,0.029275,0.047895
91,731,551,21.550327,27.297276,0.029481,0.049541
92,749,559,22.054895,26.030058,0.029446,0.046565
93,720,542,21.067010,25.601432,0.029260,0.047235
94,718,541,21.280240,26.148767,0.029638,0.048334
95,731,547,21.376221,26.166782,0.029242,0.047837
96,740,545,21.569994,26.897412,0.029149,0.049353
97,748,551,21.900344,25.978228,0.029279,0.047147
98,750,555,22.337062,26.828468,0.029783,0.048340
99,732,547,21.684987,27.091129,0.029624,0.049527
100,743,553,21.989537,27.159585,0.029596,0.049113
101,799,604,23.565009,28.264448,0.029493,0.046795
102,792,597,23.357180,28.203601,0.029491,0.047242
103,802,602,23.625574,28.730120,0.029458,0.047724
104,805,601,23.908100,29.843824,0.029700,0.049657
105,797,597,23.525902,28.046870,0.029518,0.046980
106,790,599,23.334317,28.166282,0.029537,0.047022
107,812,608,24.035263,29.976766,0.029600,0.049304
108,796,598,23.639566,73.244175,0.029698,0.122482
109,803,597,23.823927,27.216220,0.029669,0.045588
110,795,597,23.721713,28.421823,0.029839,0.047608
111,796,599,23.505359,29.130072,0.029529,0.048631
112,791,597,23.528666,28.309760,0.029745,0.047420
113,797,603,23.528986,27.753849,0.029522,0.046026
114,801,596,23.542587,27.364080,0.029391,0.045913
115,784,592,23.307603,28.264355,0.029729,0.047744
116,803,597,23.627050,28.079127,0.029423,0.047034
117,820,608,24.316688,28.331578,0.029654,0.046598
118,801,604,25.480665,28.990863,0.031811,0.047998
119,810,596,23.992269,27.437469,0.029620,0.046036
120,795,601,23.436305,28.071324,0.029480,0.046708
121,794,591,23.539544,27.849532,0.029647,0.047123
122,785,597,23.313614,27.368660,0.029699,0.045844
123,772,594,22.694998,27.826704,0.029398,0.046846
124,809,604,24.325452,29.946690,0.030069,0.049581
125,807,600,23.805986,28.492690,0.029499,0.047488
126,793,599,23.364504,29.165009,0.029463,0.048689
127,788,591,23.247881,27.733097,0.029502,0.046926
128,792,599,23.521655,27.947715,0.029699,0.046657
129,813,605,24.169196,28.982288,0.029728,0.047905
130,802,603,23.596872,27.696756,0.029423,0.045932
131,817,607,24.017359,27.910007,0.029397,0.045980
132,802,607,23.536846,27.973832,0.029348,0.046085
133,812,605,23.895497,28.788468,0.029428,0.047584
134,788,599,23.207513,27.850726,0.029451,0.046495
135,791,598,23.383001,27.589386,0.029561,0.046136
136,794,597,23.521240,28.093478,0.029624,0.047058
137,809,606,24.000578,28.302042,0.029667,0.046703
138,801,598,23.822389,28.393864,0.029741,0.047481
139,807,597,23.946841,28.712300,0.029674,0.048094
140,782,594,23.258604,28.026545,0.029742,0.047183
141,790,592,23.878689,28.429382,0.030226,0.048023
142,806,598,24.328303,28.759642,0.030184,0.048093
143,819,604,24.157874,27.862747,0.029497,0.046130
144,794,600,23.436358,28.886569,0.029517,0.048144
145,787,589,23.394260,28.639690,0.029726,0.048624
146,809,605,24.044878,28.927141,0.029722,0.047813
147,782,590,23.146787,27.863979,0.029599,0.047227
148,792,599,23.486172,29.112106,0.029654,0.048601
149,790,596,23.744665,27.948973,0.030057,0.046894
150,807,598,23.702362,27.530566,0.029371,0.046038
151,864,649,25.582842,29.499584,0.029610,0.045454
152,866,652,25.620043,30.342483,0.029584,0.046538
153,864,650,25.479644,30.795546,0.029490,0.047378
154,865,646,25.440470,30.803961,0.029411,0.047684
155,867,647,26.186030,30.100808,0.030203,0.046524
156,859,641,25.299642,30.215074,0.029452,0.047137
157,876,650,25.882726,29.854136,0.029546,0.045929
158,877,648,26.140284,30.191353,0.029806,0.046592
159,884,653,26.132097,30.823761,0.029561,0.047203
160,866,653,25.599026,30.591511,0.029560,0.046848
161,867,646,25.571747,29.597460,0.029495,0.045817
162,862,649,25.620246,31.701523,0.029722,0.048847
163,851,643,25.487555,30.956452,0.029950,0.048144
164,866,649,25.584441,31.737844,0.029543,0.048903
165,874,650,27.414328,31.207002,0.031367,0.048011
166,861,648,25.734005,30.712872,0.029889,0.047396
167,847,643,26.369726,30.858908,0.031133,0.047992
168,860,651,36.162372,34.778131,0.042049,0.053423
169,874,653,26.377123,31.246126,0.030180,0.047850
170,856,645,25.833138,30.506560,0.030179,0.047297
171,887,650,26.366058,30.954968,0.029725,0.047623
172,863,648,27.192886,33.427809,0.031510,0.051586
173,873,648,32.772014,35.860946,0.037540,0.055341
174,885,656,26.645718,30.889214,0.030108,0.047087
175,884,654,26.213201,31.003914,0.029653,0.047407
176,853,648,25.762349,41.623235,0.030202,0.064233
177,869,648,25.713032,30.817963,0.029589,0.047559
178,878,658,25.737806,31.649461,0.029314,0.048099
179,878,655,25.881061,30.572146,0.029477,0.046675
180,862,647,25.224247,29.985330,0.029262,0.046345
181,861,649,25.506777,30.835829,0.029625,0.047513
182,874,649,25.713606,30.719507,0.029421,0.047334
183,875,652,26.055472,31.461576,0.029778,0.048254
184,866,649,25.500110,31.737526,0.029446,0.048902
185,875,650,26.816170,30.550638,0.030647,0.047001
186,872,651,25.862837,29.897872,0.029659,0.045926
187,857,643,25.543910,31.053516,0.029806,0.048295
188,861,649,25.461844,29.846061,0.029572,0.045988
189,872,652,25.918111,30.471234,0.029723,0.046735
190,880,653,25.829866,30.252480,0.029352,0.046328
191,866,643,25.561175,30.577131,0.029516,0.047554
192,890,652,26.253351,29.984581,0.029498,0.045989
193,878,658,26.172795,31.778231,0.029810,0.048295
194,856,650,25.346754,30.507198,0.029611,0.046934
195,867,657,25.569635,30.860462,0.029492,0.046972
196,866,647,25.570233,30.627445,0.029527,0.047338
197,871,656,32.875374,34.527763,0.037744,0.052634
198,884,659,28.663513,32.636629,0.032425,0.049524
199,851,646,25.062342,29.231076,0.029450,0.045249
200,870,653,25.590694,30.622104,0.029415,0.046894
201,929,694,27.386001,32.653321,0.029479,0.047051
202,930,699,27.538406,32.025026,0.029611,0.045815
203,945,705,28.317881,33.654610,0.029966,0.047737
204,945,706,27.815703,32.212768,0.029435,0.045627
205,929,701,27.518839,32.476768,0.029622,0.046329
206,953,704,28.079368,32.473610,0.029464,0.046127
207,919,693,27.084110,32.260065,0.029471,0.046551
208,946,707,27.768550,33.733071,0.029354,0.047713
209,935,698,27.455688,31.917907,0.029364,0.045728
210,907,684,26.775901,32.660407,0.029521,0.047749
211,934,698,29.292243,37.450694,0.031362,0.053654
212,929,700,31.134715,35.020498,0.033514,0.050029
213,931,700,29.303714,36.666939,0.031476,0.052381
214,920,688,33.925036,35.393184,0.036875,0.051444
215,928,695,30.172224,34.772504,0.032513,0.050032
216,922,692,31.858527,47.681272,0.034554,0.068904
217,930,695,43.747476,666.855853,0.047040,0.959505
218,937,700,29.786240,35.266671,0.031789,0.050381
219,937,702,30.245732,33.742298,0.032279,0.048066
220,939,701,36.016056,33.666835,0.038356,0.048027
221,949,705,30.080447,35.334414,0.031697,0.050120
222,922,698,30.545352,33.327854,0.033129,0.047748
223,929,699,27.496415,32.704292,0.029598,0.046787
224,944,697,27.949924,32.981502,0.029608,0.047319
225,934,705,27.487357,32.968724,0.029430,0.046764
226,925,698,27.370043,34.931793,0.029589,0.050046
227,937,700,27.918029,34.052144,0.029795,0.048646
228,948,707,29.320236,36.176750,0.030929,0.051169
229,925,696,27.470263,33.217408,0.029698,0.047726
230,944,701,28.358799,34.010824,0.030041,0.048518
231,936,696,27.896251,32.855946,0.029804,0.047207
232,929,700,27.322212,31.958397,0.029410,0.045655
233,944,704,28.045952,31.936689,0.029710,0.045365
234,922,694,28.412807,33.032626,0.030816,0.047597
235,944,699,27.578745,32.584108,0.029215,0.046615
236,931,700,27.566122,32.047470,0.029609,0.045782
237,943,704,27.718688,33.617396,0.029394,0.047752
238,913,692,26.811201,32.349366,0.029366,0.046748
239,951,704,28.035188,32.899143,0.029480,0.046732
240,921,698,27.155898,32.529357,0.029485,0.046604
241,937,701,27.626145,33.521416,0.029484,0.047819
242,939,704,28.257374,33.607539,0.030093,0.047738
243,921,695,27.091729,32.015872,0.029416,0.046066
244,939,704,27.805399,34.235351,0.029612,0.048630
245,930,701,27.349836,31.425462,0.029408,0.044829
246,929,696,27.338059,33.352130,0.029427,0.047920
247,924,698,27.194198,32.312029,0.029431,0.046292
248,930,694,27.487274,33.034488,0.029556,0.047600
249,932,701,27.329986,32.956418,0.029324,0.047013
