Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,8375,8374,1259.881385,5491.895203,0.150434,0.655827
2,3815,3814,1143.420592,1330.857841,0.299717,0.348940
3,8623,8622,502.600935,5012.616714,0.058286,0.581375
4,262,261,14.868806,17.742198,0.056751,0.067978
5,2,1,0.368508,0.151495,0.184254,0.151495
6,9210,9209,492.706388,5457.835039,0.053497,0.592663
7,1333,1332,59.129877,165.700899,0.044358,0.124400
8,1994,1993,92.015151,332.665895,0.046146,0.166917
9,8137,8136,515.465610,5094.262718,0.063348,0.626138
10,8043,8042,403.728182,4986.573318,0.050196,0.620066
11,2,1,1.203710,0.110787,0.601855,0.110787
12,10818,10817,621.221310,7770.052168,0.057425,0.718319
13,3699,3698,198.254003,1095.419508,0.053597,0.296219
14,4919,4918,275.151148,1714.326272,0.055936,0.348582
15,7161,7160,390.010533,3859.999721,0.054463,0.539106
16,8226,8225,483.410983,4934.624701,0.058766,0.599954
17,5741,5740,322.212883,2351.457752,0.056125,0.409662
18,7591,7590,414.677944,4724.131077,0.054628,0.622415
19,4502,4501,250.489369,1510.423377,0.055640,0.335575
20,14996,14995,963.909698,15879.240130,0.064278,1.058969
21,9756,9755,581.183050,6615.779145,0.059572,0.678194
22,11869,11868,729.749503,9930.152860,0.061484,0.836717
23,998,997,65.847871,105.107084,0.065980,0.105423
24,13661,13660,971.666385,13034.775499,0.071127,0.954230
25,6652,6651,431.540308,3263.474903,0.064874,0.490674
26,3637,3636,227.830748,979.503206,0.062642,0.269390
27,1344,1343,83.377247,168.528499,0.062037,0.125487
28,2514,2513,164.441718,500.490511,0.065410,0.199161
29,10818,10817,760.503779,7688.584458,0.070300,0.710787
30,13974,13973,1101.631000,13468.930947,0.078834,0.963925
31,10648,10647,730.271660,7764.701505,0.068583,0.729285
32,7472,7471,631.377174,4359.654905,0.084499,0.583544
33,6192,6191,426.659709,2871.548730,0.068905,0.463826
34,12808,12807,1083.741120,10891.960697,0.084614,0.850469
35,1448,1447,95.779975,190.424296,0.066146,0.131599
36,4871,4870,346.101313,1680.767200,0.071053,0.345127
37,5262,5261,396.417299,2096.457528,0.075336,0.398490
38,17811,17810,1269.941212,21799.682437,0.071301,1.224014
39,6420,6419,467.652306,3243.254700,0.072843,0.505259
40,2,1,0.193586,0.110302,0.096793,0.110302
41,8150,8149,602.724645,4701.444767,0.073954,0.576935
42,2,1,0.963398,0.204796,0.481699,0.204796
43,10712,10711,787.516062,8086.435917,0.073517,0.754966
44,5182,5181,508.401997,1950.460081,0.098109,0.376464
45,1665,1664,120.336927,247.499346,0.072274,0.148738
46,1286,1285,99.839400,153.657880,0.077636,0.119578
47,2,1,0.655331,0.199738,0.327666,0.199738
48,2886,2885,211.724587,606.884173,0.073363,0.210358
49,6699,6698,484.649318,3604.920859,0.072347,0.538209
50,5525,5524,400.793600,2299.734216,0.072542,0.416317
