Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,2547,2546,710.308566,969.706347,0.278880,0.380874
2,8252,8251,869.931184,4733.805571,0.105421,0.573725
3,2593,2592,212.464510,492.740791,0.081938,0.190101
4,5339,5338,410.239356,1798.818653,0.076838,0.336984
5,6343,6342,479.260557,2180.239888,0.075557,0.343778
6,1568,1567,112.984392,232.173939,0.072056,0.148165
7,4093,4092,300.202275,955.499956,0.073345,0.233504
8,3704,3703,290.135273,1032.434798,0.078330,0.278810
9,15167,15166,971.384957,10405.768369,0.064046,0.686125
10,1755,1754,118.539677,223.878965,0.067544,0.127639
11,14164,14163,1005.088992,9120.978741,0.070961,0.644000
12,9257,9256,661.757644,4062.480282,0.071487,0.438902
13,8178,8177,611.775409,3131.334709,0.074807,0.382944
14,1771,1770,130.285661,240.093121,0.073566,0.135646
15,7027,7026,530.997996,2463.494558,0.075565,0.350625
16,5303,5302,395.834123,1499.700173,0.074643,0.282856
17,10623,10622,804.982203,5261.433928,0.075777,0.495334
18,4464,4463,376.974935,1078.572580,0.084448,0.241670
19,10189,10188,776.211600,4911.701414,0.076181,0.482107
20,10827,10826,816.117401,6065.270116,0.075378,0.560250
21,13727,13726,1033.217957,8967.292326,0.075269,0.653307
22,5516,5515,418.358305,1597.861005,0.075845,0.289730
23,7877,7876,573.807266,3273.439949,0.072846,0.415622
24,9569,9568,704.438177,4487.882572,0.073617,0.469051
25,6106,6105,450.304091,1903.709269,0.073748,0.311828
26,3755,3754,290.690584,807.832894,0.077414,0.215193
27,10220,10219,731.487202,4925.031785,0.071574,0.481949
28,2714,2713,190.833262,525.653451,0.070314,0.193754
29,6711,6710,478.438915,2423.583528,0.071292,0.361190
30,5726,5725,400.788742,1759.273595,0.069995,0.307297
31,3753,3752,262.534141,822.861022,0.069953,0.219313
32,6674,6673,473.454984,2351.800914,0.070940,0.352435
33,10045,10044,724.220530,5065.454182,0.072098,0.504326
34,3626,3625,252.183761,755.238400,0.069549,0.208342
35,1677,1676,123.370155,225.888294,0.073566,0.134778
36,5569,5568,387.103808,1683.868742,0.069510,0.302419
37,3389,3388,230.499662,687.357002,0.068014,0.202880
38,1416,1415,96.756449,162.749715,0.068331,0.115017
39,14281,14280,977.610061,10074.473430,0.068455,0.705495
40,7044,7043,481.788572,2570.567800,0.068397,0.364982
41,3065,3064,197.661220,579.282009,0.064490,0.189061
42,10435,10434,678.449005,5443.442038,0.065017,0.521702
43,2,1,1.439047,0.109047,0.719524,0.109047
44,5180,5179,332.054078,1462.295122,0.064103,0.282351
45,9000,8999,562.205656,4218.131061,0.062467,0.468733
46,10349,10348,641.012251,6254.957857,0.061940,0.604461
47,10319,10318,623.989615,5425.801673,0.060470,0.525858
48,1344,1343,81.199169,153.555023,0.060416,0.114337
49,6176,6175,370.164018,2067.496376,0.059936,0.334817
50,4539,4538,275.394434,1225.388139,0.060673,0.270028
