Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,1118,559,900.225422,326.695601,0.805211,0.584429
2,889,445,209.772078,146.115181,0.235964,0.328349
3,1011,506,151.426592,109.975968,0.149779,0.217344
4,1139,571,130.941666,103.080993,0.114962,0.180527
5,1008,505,86.711313,70.050904,0.086023,0.138715
6,1277,639,69.598021,64.617049,0.054501,0.101122
7,1136,569,65.270115,64.156499,0.057456,0.112753
8,1338,669,73.792252,72.512933,0.055151,0.108390
9,1043,522,37.059844,49.488422,0.035532,0.094805
10,1236,619,46.273399,47.606887,0.037438,0.076909
11,968,486,27.232498,30.864587,0.028133,0.063507
12,1208,604,33.230382,38.348012,0.027509,0.063490
13,863,432,24.233117,27.381933,0.028080,0.063384
14,906,453,26.060217,29.876732,0.028764,0.065953
15,988,495,27.948041,30.898329,0.028287,0.062421
16,885,444,25.834132,27.373967,0.029191,0.061653
17,898,450,26.371043,27.280182,0.029366,0.060623
18,1037,520,28.954149,31.062490,0.027921,0.059736
19,1242,621,35.328785,38.538320,0.028445,0.062058
20,574,287,16.228542,14.451364,0.028273,0.050353
21,1078,539,31.293002,26.155961,0.029029,0.048527
22,1505,753,54.165910,45.765291,0.035991,0.060777
23,1021,511,36.441744,223.305067,0.035692,0.436996
24,945,473,34.013991,28.198907,0.035994,0.059617
25,1065,534,38.648744,32.247133,0.036290,0.060388
26,1176,589,43.308120,186.792556,0.036827,0.317135
27,1048,525,118.708207,85.807517,0.113271,0.163443
28,1097,550,129.188420,94.071263,0.117765,0.171039
29,937,470,108.450140,77.768009,0.115742,0.165464
30,1053,527,127.593107,87.627598,0.121171,0.166276
31,659,330,76.652451,57.133000,0.116316,0.173130
32,929,465,105.093746,78.921138,0.113126,0.169723
33,1409,707,168.193951,119.733448,0.119371,0.169354
34,827,414,95.012245,69.068671,0.114888,0.166833
35,540,270,62.627704,44.869926,0.115977,0.166185
36,824,414,93.826345,69.467705,0.113867,0.167796
37,1031,516,115.695140,88.805363,0.112216,0.172103
38,974,488,109.624186,85.782021,0.112550,0.175783
39,1104,552,118.668992,94.960695,0.107490,0.172030
40,1189,595,138.289786,106.522769,0.116308,0.179030
41,1325,663,153.102475,116.905718,0.115549,0.176328
42,790,396,92.859216,70.430406,0.117543,0.177855
43,929,465,108.395761,80.961909,0.116680,0.174112
44,716,358,82.961501,62.711359,0.115868,0.175171
45,976,488,116.530457,85.979727,0.119396,0.176188
46,780,390,88.532830,66.077439,0.113504,0.169429
47,1117,559,126.274177,96.801248,0.113048,0.173169
48,773,387,83.801266,65.941362,0.108410,0.170391
49,758,379,78.858891,65.034148,0.104035,0.171594
50,870,435,92.280151,74.221744,0.106069,0.170625
51,1378,690,148.573290,122.322432,0.107818,0.177279
52,1139,570,136.262863,102.520636,0.119634,0.179861
53,1161,581,153.460763,125.178371,0.132180,0.215453
54,1378,691,183.532922,148.431501,0.133188,0.214807
55,858,429,115.185977,90.449885,0.134249,0.210839
56,1269,635,169.651581,134.828198,0.133689,0.212328
57,913,457,124.323794,100.085041,0.136171,0.219004
58,1132,567,151.110727,123.060928,0.133490,0.217039
59,905,454,141.633690,421.920353,0.156501,0.929340
60,989,495,129.726000,109.064053,0.131169,0.220331
