Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,2547,2546,609.530986,949.490893,0.239313,0.372934
2,8252,8251,596.667767,3995.033134,0.072306,0.484188
3,2593,2592,169.211381,415.932160,0.065257,0.160468
4,5339,5338,218.759605,1455.338725,0.040974,0.272637
5,6343,6342,220.484750,2487.366767,0.034760,0.392205
6,1568,1567,52.717694,183.892551,0.033621,0.117353
7,4093,4092,138.983853,973.830608,0.033956,0.237984
8,3704,3703,123.345031,794.683481,0.033300,0.214605
9,15167,15166,497.713239,11138.206984,0.032816,0.734420
10,1755,1754,56.240643,227.637422,0.032046,0.129782
11,14164,14163,460.153878,9622.689841,0.032488,0.679425
12,9257,9256,454.227428,4298.629020,0.049069,0.464415
13,8178,8177,266.624577,3420.706144,0.032603,0.418333
14,1771,1770,56.498009,237.413398,0.031902,0.134132
15,7027,7026,225.015445,2594.110796,0.032022,0.369216
16,5303,5302,170.230349,1657.752990,0.032101,0.312666
17,10623,10622,338.797059,5629.505328,0.031893,0.529985
18,4464,4463,143.500405,1125.733498,0.032146,0.252237
19,10189,10188,325.574507,5185.297000,0.031954,0.508961
20,10827,10826,349.011711,6066.450833,0.032235,0.560359
21,13727,13726,445.233988,9839.244374,0.032435,0.716833
22,5516,5515,177.256025,1639.697072,0.032135,0.297316
23,7877,7876,254.485075,3154.316293,0.032307,0.400497
24,9569,9568,312.129285,4898.154989,0.032619,0.511931
25,6106,6105,199.411767,2015.724165,0.032658,0.330176
26,3755,3754,121.974593,819.713573,0.032483,0.218357
27,10220,10219,328.579376,5155.892347,0.032151,0.504540
28,2714,2713,86.581279,470.179063,0.031902,0.173306
29,6711,6710,220.154896,2456.067977,0.032805,0.366031
30,5726,5725,184.798420,1780.755691,0.032274,0.311049
31,3753,3752,122.725319,834.304685,0.032701,0.222363
32,6674,6673,226.831336,2382.618171,0.033987,0.357054
33,10045,10044,325.506998,5271.531443,0.032405,0.524844
34,3626,3625,116.815714,789.283534,0.032216,0.217733
35,1677,1676,53.785462,224.702476,0.032072,0.134071
36,5569,5568,181.598360,1825.865408,0.032609,0.327921
37,3389,3388,110.005562,692.467135,0.032460,0.204388
38,1416,1415,45.697859,165.556375,0.032272,0.117001
39,14281,14280,471.159175,11057.839116,0.032992,0.774358
40,7044,7043,235.800973,2765.087503,0.033475,0.392601
41,3065,3064,103.246659,589.809526,0.033686,0.192497
42,10435,10434,348.892362,5634.101021,0.033435,0.539975
43,2,1,0.160213,0.100440,0.080107,0.100440
44,5180,5179,174.495115,1501.560637,0.033686,0.289933
45,9000,8999,312.759908,4390.553333,0.034751,0.487893
46,10349,10348,336.100581,5952.674128,0.032477,0.575249
47,10319,10318,340.370470,5813.186175,0.032985,0.563402
48,1344,1343,44.223141,151.837588,0.032904,0.113059
49,6176,6175,205.653302,2139.353805,0.033299,0.346454
50,4539,4538,157.582730,1222.305192,0.034717,0.269349
