Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,560,559,388.427544,402.432582,0.693621,0.719915
2,446,445,150.445166,186.596906,0.337321,0.419319
3,638,637,143.045269,170.987225,0.224209,0.268426
4,620,619,113.084339,176.202556,0.182394,0.284657
5,589,588,71.473698,104.074997,0.121348,0.176998
6,538,537,52.847557,83.030054,0.098230,0.154618
7,539,538,37.646084,58.936592,0.069844,0.109548
8,409,408,26.311641,43.828239,0.064332,0.107422
9,358,357,25.530724,42.276437,0.071315,0.118421
10,499,498,37.487257,62.108793,0.075125,0.124716
11,657,656,36.635476,61.393150,0.055762,0.093587
12,414,413,61.599229,29.195415,0.148790,0.070691
13,648,647,29.607188,46.242317,0.045690,0.071472
14,644,643,29.557363,45.109996,0.045897,0.070156
15,517,516,22.950217,35.758199,0.044391,0.069299
16,632,631,28.976533,44.427801,0.045849,0.070409
17,399,398,17.897736,26.837641,0.044856,0.067431
18,519,518,23.871103,34.824311,0.045994,0.067228
19,567,566,25.867682,39.415438,0.045622,0.069639
20,625,624,21.055504,43.640005,0.033689,0.069936
21,577,576,16.901237,33.748110,0.029292,0.058590
22,568,567,16.108153,29.411755,0.028359,0.051873
23,547,546,15.667787,27.791641,0.028643,0.050900
24,446,445,12.170942,21.511526,0.027289,0.048341
25,571,570,15.333405,28.250611,0.026854,0.049562
26,545,544,14.774333,27.597584,0.027109,0.050731
27,690,689,18.720551,34.089834,0.027131,0.049477
28,534,533,18.041001,32.658880,0.033785,0.061274
29,527,526,18.137563,32.327459,0.034417,0.061459
30,510,509,16.899571,31.299613,0.033136,0.061492
31,366,365,274.199092,22.240432,0.749178,0.060933
32,637,636,22.817801,39.831299,0.035821,0.062628
33,625,624,20.588938,38.693438,0.032942,0.062009
34,465,464,15.343099,247.784242,0.032996,0.534018
35,694,693,18.084178,34.732832,0.026058,0.050120
36,364,363,9.203583,17.374455,0.025285,0.047864
37,439,438,11.569421,21.768109,0.026354,0.049699
38,391,390,10.221200,19.160316,0.026141,0.049129
39,552,551,14.238426,27.341816,0.025794,0.049622
40,586,585,15.571223,29.052023,0.026572,0.049662
41,507,506,13.312166,25.199424,0.026257,0.049801
42,437,436,11.410694,21.770714,0.026111,0.049933
43,241,240,6.224394,11.456943,0.025827,0.047737
44,525,524,13.707140,26.468739,0.026109,0.050513
45,399,398,10.425711,19.713002,0.026130,0.049530
46,400,399,10.637743,20.610565,0.026594,0.051656
47,720,719,18.750266,35.960629,0.026042,0.050015
48,536,535,14.038227,25.667757,0.026191,0.047977
49,370,369,9.871352,17.720820,0.026679,0.048024
50,601,600,15.897934,28.972419,0.026452,0.048287
51,328,327,8.906925,15.799458,0.027155,0.048316
52,517,516,13.647029,25.495137,0.026397,0.049409
53,567,566,15.243210,27.153635,0.026884,0.047975
54,405,404,10.994578,19.075886,0.027147,0.047218
55,464,463,12.291339,22.216600,0.026490,0.047984
56,403,402,10.577595,18.816690,0.026247,0.046808
57,467,466,12.450008,22.156882,0.026660,0.047547
58,614,613,16.048929,28.935198,0.026138,0.047203
59,464,463,12.543382,22.300260,0.027033,0.048165
60,679,678,17.985664,32.434103,0.026488,0.047838
61,567,566,15.005095,26.882052,0.026464,0.047495
62,530,529,13.958405,24.969619,0.026337,0.047202
63,472,471,12.961151,22.523920,0.027460,0.047821
64,425,424,11.440638,20.752202,0.026919,0.048944
65,594,593,15.853666,28.163249,0.026690,0.047493
66,538,537,14.340778,25.794273,0.026656,0.048034
67,515,514,13.916957,25.008056,0.027023,0.048654
68,492,491,13.569686,23.968667,0.027581,0.048816
69,431,430,11.576850,20.898045,0.026860,0.048600
70,612,611,244.622814,36.293230,0.399710,0.059400
71,597,596,20.019449,35.468377,0.033533,0.059511
72,223,222,7.323642,12.555785,0.032841,0.056558
73,420,419,13.815826,24.719589,0.032895,0.058997
74,548,547,17.937924,33.962201,0.032733,0.062088
75,443,442,14.791025,26.362239,0.033388,0.059643
76,406,405,13.508164,23.566038,0.033271,0.058188
77,230,229,7.725303,13.299447,0.033588,0.058076
78,432,431,14.382454,25.391308,0.033293,0.058913
79,448,447,14.861054,26.149556,0.033172,0.058500
80,610,609,20.329174,36.625473,0.033327,0.060140
81,455,454,15.359573,26.899322,0.033757,0.059250
82,435,434,14.706809,25.920954,0.033809,0.059726
83,501,500,16.781388,29.873721,0.033496,0.059747
84,488,487,115.993354,28.832881,0.237691,0.059205
85,419,418,14.137480,25.515222,0.033741,0.061041
86,467,466,12.377748,22.332954,0.026505,0.047925
87,551,550,14.581133,26.285070,0.026463,0.047791
88,555,554,14.819531,26.761891,0.026702,0.048307
89,502,501,13.483613,24.954118,0.026860,0.049809
90,460,459,12.353963,21.987397,0.026856,0.047903
91,548,547,14.809473,26.592560,0.027025,0.048615
92,388,387,10.360087,18.333360,0.026701,0.047373
93,486,485,13.033210,23.162306,0.026817,0.047757
94,382,381,10.027428,17.717037,0.026250,0.046501
95,543,542,14.428782,25.819536,0.026572,0.047638
96,441,440,11.603434,20.619503,0.026312,0.046863
97,653,652,17.197671,32.399026,0.026336,0.049692
98,409,408,11.034238,19.854825,0.026979,0.048664
99,467,466,12.781647,23.527820,0.027370,0.050489
100,563,562,14.684891,26.589360,0.026083,0.047312
101,570,569,15.176289,27.546446,0.026625,0.048412
102,597,596,15.828583,29.167262,0.026514,0.048938
103,487,486,12.771210,22.912832,0.026224,0.047146
104,422,421,11.209244,20.049190,0.026562,0.047623
105,453,452,12.140446,21.586544,0.026800,0.047758
106,475,474,12.635533,22.872551,0.026601,0.048254
107,493,492,12.801412,22.964443,0.025966,0.046676
108,479,478,12.300649,21.283721,0.025680,0.044527
109,502,501,13.063530,22.848516,0.026023,0.045606
110,593,592,15.440416,27.251395,0.026038,0.046033
111,584,583,15.103472,26.778429,0.025862,0.045932
112,207,206,5.365756,9.168783,0.025922,0.044509
113,456,455,11.711721,20.553093,0.025684,0.045172
114,573,572,14.901929,26.257359,0.026007,0.045904
115,365,364,9.378817,16.093766,0.025695,0.044214
116,604,603,15.916321,27.448408,0.026352,0.045520
117,629,628,16.150937,28.319936,0.025677,0.045095
118,432,431,11.286425,19.703420,0.026126,0.045716
119,377,376,9.738868,16.918971,0.025833,0.044997
120,564,563,14.610450,25.542668,0.025905,0.045369
121,200,199,5.163009,8.990009,0.025815,0.045176
122,474,473,12.227743,21.445564,0.025797,0.045339
123,475,474,12.183488,21.425379,0.025649,0.045201
124,612,611,15.731202,27.992561,0.025705,0.045814
