Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,20030,20029,2544.554224,31157.622876,0.127037,1.555625
2,534,267,31.792122,25.296419,0.059536,0.094743
3,482,241,23.823003,18.851318,0.049425,0.078221
4,611,306,29.610018,23.615901,0.048462,0.077176
5,430,215,20.584628,14.641179,0.047871,0.068099
6,466,233,19.506433,15.658227,0.041859,0.067203
7,552,276,22.547014,17.393846,0.040846,0.063021
8,666,333,21.534493,20.621823,0.032334,0.061927
9,535,268,15.646448,14.754066,0.029246,0.055052
10,592,296,17.354335,16.442822,0.029315,0.055550
11,456,230,14.303004,12.576140,0.031366,0.054679
12,430,215,11.642496,11.034960,0.027076,0.051325
13,674,337,17.671119,17.151359,0.026218,0.050894
14,599,300,15.574852,15.342462,0.026001,0.051142
15,541,271,13.968112,13.609772,0.025819,0.050221
16,605,303,17.186910,15.746407,0.028408,0.051968
17,514,257,13.778829,13.228903,0.026807,0.051474
18,519,260,13.533166,13.237618,0.026075,0.050914
19,638,319,16.620203,16.456015,0.026050,0.051586
20,604,302,19.686533,18.375322,0.032594,0.060845
21,666,333,17.909240,16.383738,0.026891,0.049200
22,654,328,18.266248,16.050736,0.027930,0.048935
23,599,300,17.709099,15.371439,0.029564,0.051238
24,652,326,17.248790,15.587123,0.026455,0.047813
25,644,322,17.451827,15.794819,0.027099,0.049052
26,580,290,15.747001,14.144083,0.027150,0.048773
27,596,298,16.716590,14.806705,0.028048,0.049687
28,742,372,20.162115,18.162849,0.027173,0.048825
29,620,310,17.462002,15.249885,0.028165,0.049193
30,704,352,19.122463,17.129448,0.027163,0.048663
31,645,323,17.428270,15.943856,0.027021,0.049362
32,480,240,13.711838,11.534835,0.028566,0.048062
33,790,395,21.795629,19.676174,0.027589,0.049813
34,869,435,24.687395,21.525797,0.028409,0.049485
35,575,288,15.440357,14.345098,0.026853,0.049809
36,732,366,20.492248,15.885558,0.027995,0.043403
37,604,302,16.626572,12.933359,0.027527,0.042826
38,660,330,18.349981,13.946343,0.027803,0.042262
39,430,215,11.725663,9.081880,0.027269,0.042241
40,616,309,17.186166,13.581825,0.027900,0.043954
41,588,294,15.421323,13.042317,0.026227,0.044362
42,478,239,12.662334,10.813608,0.026490,0.045245
43,696,348,18.763413,15.614989,0.026959,0.044871
44,632,316,17.607384,14.550146,0.027860,0.046045
45,460,230,12.655580,10.073292,0.027512,0.043797
46,715,358,19.141649,15.765517,0.026772,0.044038
47,602,301,16.746716,14.188878,0.027818,0.047139
48,778,390,21.564806,17.292763,0.027718,0.044340
49,517,259,13.756800,11.509599,0.026609,0.044439
50,568,284,15.226241,12.744945,0.026807,0.044877
51,538,269,15.034109,12.150326,0.027944,0.045168
52,781,391,21.015451,17.395724,0.026908,0.044490
53,769,386,20.508715,17.383487,0.026669,0.045035
54,685,343,18.068239,15.108240,0.026377,0.044047
55,736,368,20.211675,17.452150,0.027462,0.047424
56,703,352,18.912846,16.357159,0.026903,0.046469
57,556,278,15.340952,12.342750,0.027592,0.044398
58,403,202,11.120258,8.663543,0.027594,0.042889
59,490,245,13.017947,10.876116,0.026567,0.044392
60,690,345,19.863664,15.849506,0.028788,0.045941
61,487,244,13.986507,10.710346,0.028720,0.043895
62,550,276,15.251852,12.666906,0.027731,0.045895
63,562,281,16.873328,12.948964,0.030024,0.046082
64,656,328,18.194133,14.607960,0.027735,0.044536
65,608,304,16.161159,13.368637,0.026581,0.043976
66,674,337,18.148383,14.955048,0.026926,0.044377
67,546,273,15.289191,12.668216,0.028002,0.046404
68,507,254,13.840422,10.790337,0.027299,0.042482
69,1041,522,28.406896,22.796568,0.027288,0.043672
70,658,329,19.309705,14.476210,0.029346,0.044001
71,513,257,15.607993,11.696698,0.030425,0.045512
72,576,288,17.590837,12.896588,0.030540,0.044780
73,640,320,19.090364,14.354992,0.029829,0.044859
74,444,222,12.733658,9.282850,0.028679,0.041815
75,680,341,20.507075,15.913049,0.030157,0.046666
76,621,312,17.963625,13.926411,0.028927,0.044636
77,740,370,21.831620,16.441863,0.029502,0.044437
78,401,201,12.696145,9.114977,0.031661,0.045348
79,747,374,22.952801,16.844355,0.030727,0.045038
80,603,302,18.303346,14.033291,0.030354,0.046468
81,618,309,18.293846,13.814032,0.029602,0.044706
82,657,329,20.362519,15.268056,0.030993,0.046407
83,674,338,20.166284,15.420878,0.029920,0.045624
84,774,387,23.273766,17.670699,0.030069,0.045661
85,859,430,26.177360,20.212655,0.030474,0.047006
86,443,222,13.323762,9.530406,0.030076,0.042930
87,530,265,16.960897,12.126757,0.032002,0.045761
88,728,364,22.157207,16.810432,0.030436,0.046183
89,678,339,20.306975,14.980648,0.029951,0.044191
90,665,333,19.905674,14.883691,0.029933,0.044696
91,592,296,18.370810,12.743839,0.031032,0.043054
92,748,375,21.540427,16.733968,0.028797,0.044624
93,602,301,18.483229,13.887979,0.030703,0.046139
94,557,279,16.900139,12.596246,0.030341,0.045148
95,545,273,16.997060,12.628424,0.031187,0.046258
96,699,350,20.261088,15.867080,0.028986,0.045335
97,576,288,16.770793,13.070821,0.029116,0.045385
98,711,356,20.787735,16.410776,0.029237,0.046098
99,570,285,16.728186,12.305044,0.029348,0.043176
100,620,310,18.049980,14.024530,0.029113,0.045240
101,472,236,13.247185,10.157637,0.028066,0.043041
102,921,461,26.155239,20.221539,0.028399,0.043865
103,714,357,20.405236,15.784399,0.028579,0.044214
104,667,334,19.178528,14.901592,0.028753,0.044616
105,836,418,24.231028,19.491787,0.028984,0.046631
106,373,187,10.716499,8.020586,0.028731,0.042891
107,1007,504,28.728112,22.493184,0.028528,0.044629
108,566,283,16.305876,13.111852,0.028809,0.046332
109,1041,521,29.846773,23.375826,0.028671,0.044867
110,910,455,25.612532,19.996307,0.028146,0.043948
111,856,428,23.751889,19.462109,0.027748,0.045472
112,741,371,20.493041,15.818412,0.027656,0.042637
113,646,323,17.922030,14.417941,0.027743,0.044638
114,830,415,22.384239,18.386398,0.026969,0.044305
115,914,457,25.026155,78.088727,0.027381,0.170872
116,508,254,14.578918,11.326867,0.028699,0.044594
117,783,392,22.521484,17.766119,0.028763,0.045322
118,1004,503,29.378539,22.688800,0.029261,0.045107
119,787,394,22.003892,17.333688,0.027959,0.043994
120,874,438,24.425809,20.201072,0.027947,0.046121
121,598,299,17.233445,13.432694,0.028818,0.044925
122,734,367,20.267968,16.337224,0.027613,0.044516
123,927,464,26.284135,21.509902,0.028354,0.046358
124,376,188,10.840541,8.804091,0.028831,0.046830
125,708,354,19.634392,16.431747,0.027732,0.046417
126,781,391,21.805921,17.207349,0.027921,0.044009
127,716,358,20.152577,16.696921,0.028146,0.046639
128,398,199,11.072450,8.211546,0.027820,0.041264
129,909,455,25.903213,21.101132,0.028496,0.046376
130,916,459,25.771484,20.547304,0.028135,0.044765
131,808,405,22.855317,18.826143,0.028286,0.046484
132,816,409,22.691923,18.409812,0.027809,0.045012
133,796,398,22.538551,18.023653,0.028315,0.045286
