Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,2547,2546,514.684725,952.722107,0.202075,0.374203
2,8252,8251,756.096277,3378.172865,0.091626,0.409426
3,2593,2592,182.141880,406.663849,0.070244,0.156892
4,5339,5338,314.439257,1263.479329,0.058895,0.236695
5,6343,6342,414.836479,2008.116515,0.065401,0.316638
6,1568,1567,87.024049,475.975945,0.055500,0.303750
7,4093,4092,231.114533,815.540735,0.056466,0.199301
8,3704,3703,217.604849,672.790405,0.058749,0.181688
9,15167,15166,1044.876437,12149.879447,0.068891,0.801126
10,1755,1754,117.353114,214.209889,0.066868,0.122127
11,14164,14163,1016.266931,11078.909538,0.071750,0.782243
12,9257,9256,826.010405,5012.500212,0.089231,0.541541
13,8178,8177,647.193293,3632.650934,0.079138,0.444252
14,1771,1770,139.008715,210.085280,0.078492,0.118692
15,7027,7026,598.344661,2307.346746,0.085149,0.328401
16,5303,5302,442.297778,1419.622162,0.083405,0.267752
17,10623,10622,1017.991632,6313.660574,0.095829,0.594395
18,4464,4463,385.042797,1017.962098,0.086255,0.228089
19,10189,10188,949.140728,5811.136627,0.093153,0.570390
20,10827,10826,949.800642,6615.295445,0.087725,0.611056
21,13727,13726,1214.411624,10558.778373,0.088469,0.769254
22,5516,5515,488.904723,1488.399226,0.088634,0.269882
23,7877,7876,685.018586,3420.734416,0.086964,0.434324
24,9569,9568,834.313808,4713.230663,0.087189,0.492604
25,6106,6105,520.478071,2199.681959,0.085240,0.360308
26,3755,3754,300.691190,741.004980,0.080078,0.197391
27,10220,10219,921.838481,5781.252122,0.090199,0.565736
28,2714,2713,223.549344,386.000747,0.082369,0.142278
29,6711,6710,544.787405,2261.983396,0.081178,0.337106
30,5726,5725,451.496610,1573.440568,0.078850,0.274837
31,3753,3752,296.289780,719.356050,0.078947,0.191726
32,6674,6673,531.795417,2618.133616,0.079682,0.392347
33,10045,10044,767.854588,5445.098022,0.076441,0.542124
34,3626,3625,278.542042,667.233843,0.076818,0.184065
35,1677,1676,124.865091,182.360091,0.074457,0.108807
36,5569,5568,409.699047,1624.212125,0.073568,0.291705
37,3389,3388,246.808431,624.459652,0.072826,0.184315
38,1416,1415,103.542338,139.795665,0.073123,0.098796
39,14281,14280,992.043807,11376.483855,0.069466,0.796673
40,7044,7043,477.065542,2543.735902,0.067727,0.361172
41,3065,3064,212.399045,528.077251,0.069298,0.172349
42,10435,10434,711.801497,5855.222079,0.068213,0.561168
43,2,1,0.389295,0.117507,0.194648,0.117507
44,5180,5179,370.253461,1423.631783,0.071478,0.274885
45,9000,8999,620.656126,4412.365475,0.068962,0.490317
46,10349,10348,767.026279,6099.773834,0.074116,0.589464
47,10319,10318,811.268029,6205.061336,0.078619,0.601382
48,1344,1343,93.843770,190.442612,0.069824,0.141804
49,6176,6175,402.535719,2217.627225,0.065177,0.359130
50,4539,4538,284.951395,1061.594583,0.062778,0.233934
