Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,501,500,257.021000,254.038000,0.513016,0.508076
2,501,500,100.767000,129.655000,0.201132,0.259310
3,501,500,68.102000,94.394000,0.135932,0.188788
4,501,500,59.300000,109.158000,0.118363,0.218316
5,501,500,43.835000,77.886000,0.087495,0.155772
6,501,500,31.632000,166.379000,0.063138,0.332758
7,501,500,30.794000,169.843000,0.061465,0.339686
8,501,500,31.314000,133.177000,0.062503,0.266354
9,501,500,24.694000,56.732000,0.049289,0.113464
10,501,500,31.607000,54.869000,0.063088,0.109738
11,501,500,16.884000,46.375000,0.033701,0.092750
12,501,500,16.068000,44.540000,0.032072,0.089080
13,501,500,22.235000,128.007000,0.044381,0.256014
14,501,500,12.856000,127.224000,0.025661,0.254448
15,501,500,13.145000,46.071000,0.026238,0.092142
16,501,500,13.259000,46.229000,0.026465,0.092458
17,501,500,12.111000,46.694000,0.024174,0.093388
18,501,500,12.125000,44.137000,0.024202,0.088274
19,501,500,18.903000,134.799000,0.037731,0.269598
20,501,500,12.726000,43.173000,0.025401,0.086346
21,501,500,14.323000,137.327000,0.028589,0.274654
22,501,500,28.841000,48.459000,0.057567,0.096918
23,501,500,13.135000,47.200000,0.026218,0.094400
24,501,500,13.057000,129.747000,0.026062,0.259494
25,501,500,17.527000,41.015000,0.034984,0.082030
26,501,500,10.364000,122.866000,0.020687,0.245732
27,501,500,10.301000,35.964000,0.020561,0.071928
28,501,500,15.677000,42.883000,0.031291,0.085766
29,501,500,10.568000,40.251000,0.021094,0.080502
30,501,500,10.426000,40.952000,0.020810,0.081904
31,501,500,14.923000,44.024000,0.029786,0.088048
32,501,500,9.437000,36.433000,0.018836,0.072866
33,501,500,9.387000,40.407000,0.018737,0.080814
34,501,500,10.165000,38.780000,0.020289,0.077560
35,501,500,9.665000,37.259000,0.019291,0.074518
36,501,500,9.787000,36.648000,0.019535,0.073296
37,501,500,11.115000,43.370000,0.022186,0.086740
38,501,500,10.364000,45.214000,0.020687,0.090428
39,501,500,10.181000,36.302000,0.020321,0.072604
40,501,500,9.546000,37.156000,0.019054,0.074312
41,501,500,10.007000,35.691000,0.019974,0.071382
42,501,500,10.318000,125.578000,0.020595,0.251156
43,501,500,9.513000,42.539000,0.018988,0.085078
44,501,500,16.841000,117.355000,0.033615,0.234710
45,501,500,9.584000,42.040000,0.019130,0.084080
46,501,500,10.313000,47.667000,0.020585,0.095334
47,501,500,11.082000,38.607000,0.022120,0.077214
48,501,500,10.275000,38.872000,0.020509,0.077744
49,501,500,11.865000,43.728000,0.023683,0.087456
50,501,500,12.418000,44.748000,0.024786,0.089496
51,501,500,12.582000,46.543000,0.025114,0.093086
52,501,500,11.885000,47.420000,0.023723,0.094840
53,501,500,12.074000,53.279000,0.024100,0.106558
54,501,500,11.902000,48.075000,0.023756,0.096150
55,501,500,11.862000,43.236000,0.023677,0.086472
56,501,500,12.022000,44.456000,0.023996,0.088912
57,501,500,12.043000,45.411000,0.024038,0.090822
58,501,500,13.390000,53.963000,0.026727,0.107926
59,501,500,11.858000,48.987000,0.023669,0.097974
60,501,500,12.093000,44.168000,0.024138,0.088336
61,501,500,11.704000,48.036000,0.023361,0.096072
62,501,500,15.413000,39.045000,0.030764,0.078090
63,501,500,9.561000,40.349000,0.019084,0.080698
64,501,500,9.807000,40.056000,0.019575,0.080112
65,501,500,15.100000,42.937000,0.030140,0.085874
66,501,500,15.069000,117.022000,0.030078,0.234044
67,501,500,9.636000,112.575000,0.019234,0.225150
68,501,500,15.052000,47.315000,0.030044,0.094630
69,501,500,15.207000,43.945000,0.030353,0.087890
70,501,500,15.962000,119.250000,0.031860,0.238500
71,501,500,16.721000,124.492000,0.033375,0.248984
72,501,500,9.647000,38.172000,0.019255,0.076344
73,501,500,13.743000,129.764000,0.027431,0.259528
74,501,500,17.106000,41.347000,0.034144,0.082694
75,501,500,9.410000,36.372000,0.018782,0.072744
76,501,500,9.786000,50.717000,0.019533,0.101434
77,501,500,11.759000,48.373000,0.023471,0.096746
78,501,500,11.551000,133.690000,0.023056,0.267380
79,501,500,9.565000,44.113000,0.019092,0.088226
80,501,500,15.009000,44.837000,0.029958,0.089674
81,501,500,9.432000,119.787000,0.018826,0.239574
82,501,500,10.610000,114.286000,0.021178,0.228572
83,501,500,15.204000,116.177000,0.030347,0.232354
84,501,500,15.183000,41.642000,0.030305,0.083284
85,501,500,9.529000,36.135000,0.019020,0.072270
86,501,500,14.939000,43.907000,0.029818,0.087814
87,501,500,14.942000,111.465000,0.029824,0.222930
88,501,500,9.770000,36.537000,0.019501,0.073074
89,501,500,15.152000,43.216000,0.030244,0.086432
90,501,500,17.559000,124.826000,0.035048,0.249652
91,501,500,10.263000,42.724000,0.020485,0.085448
92,501,500,9.897000,36.083000,0.019754,0.072166
93,501,500,12.362000,41.960000,0.024675,0.083920
94,501,500,12.181000,42.322000,0.024313,0.084644
95,501,500,18.285000,47.252000,0.036497,0.094504
96,501,500,48.115000,107.847000,0.096038,0.215694
97,501,500,9.362000,40.654000,0.018687,0.081308
98,501,500,9.920000,112.973000,0.019800,0.225946
99,501,500,10.469000,39.842000,0.020896,0.079684
100,501,500,13.150000,113.059000,0.026248,0.226118
101,601,600,11.358000,51.273000,0.018899,0.085455
102,601,600,15.588000,155.363000,0.025937,0.258938
103,601,600,11.353000,58.552000,0.018890,0.097587
104,601,600,11.440000,53.646000,0.019035,0.089410
105,601,600,11.583000,52.736000,0.019273,0.087893
106,601,600,17.560000,58.001000,0.029218,0.096668
107,601,600,11.162000,54.466000,0.018572,0.090777
108,601,600,11.534000,59.247000,0.019191,0.098745
109,601,600,11.578000,52.988000,0.019265,0.088313
110,601,600,12.444000,51.775000,0.020705,0.086292
111,601,600,12.048000,59.180000,0.020047,0.098633
112,601,600,11.560000,55.112000,0.019235,0.091853
113,601,600,12.043000,56.252000,0.020038,0.093753
114,601,600,11.514000,54.875000,0.019158,0.091458
115,601,600,11.317000,54.748000,0.018830,0.091247
116,601,600,20.386000,54.288000,0.033920,0.090480
117,601,600,11.276000,56.098000,0.018762,0.093497
118,601,600,15.273000,55.743000,0.025413,0.092905
119,601,600,20.606000,53.736000,0.034286,0.089560
120,601,600,20.242000,74.150000,0.033681,0.123583
121,601,600,12.149000,60.203000,0.020215,0.100338
122,601,600,12.857000,59.021000,0.021393,0.098368
123,601,600,13.369000,64.902000,0.022245,0.108170
124,601,600,18.701000,56.017000,0.031116,0.093362
125,601,600,21.344000,179.708000,0.035514,0.299513
126,601,600,11.575000,53.334000,0.019260,0.088890
127,601,600,19.024000,57.586000,0.031654,0.095977
128,601,600,21.796000,57.269000,0.036266,0.095448
129,601,600,11.665000,157.283000,0.019409,0.262138
130,601,600,21.275000,55.170000,0.035399,0.091950
131,601,600,11.357000,54.994000,0.018897,0.091657
132,601,600,11.650000,54.112000,0.019384,0.090187
133,601,600,11.482000,53.768000,0.019105,0.089613
134,601,600,11.615000,154.367000,0.019326,0.257278
135,601,600,11.544000,64.579000,0.019208,0.107632
136,601,600,11.717000,153.881000,0.019496,0.256468
137,601,600,20.089000,65.261000,0.033426,0.108768
138,601,600,19.369000,58.393000,0.032228,0.097322
139,601,600,14.505000,56.233000,0.024135,0.093722
140,601,600,13.405000,61.070000,0.022304,0.101783
141,601,600,11.677000,56.605000,0.019429,0.094342
142,601,600,14.145000,56.824000,0.023536,0.094707
143,601,600,11.513000,57.724000,0.019156,0.096207
144,601,600,11.992000,56.875000,0.019953,0.094792
145,601,600,19.090000,54.138000,0.031764,0.090230
146,601,600,11.701000,53.377000,0.019469,0.088962
147,601,600,11.494000,150.040000,0.019125,0.250067
148,601,600,21.366000,59.567000,0.035551,0.099278
149,601,600,19.391000,52.559000,0.032265,0.087598
150,601,600,11.697000,52.544000,0.019463,0.087573
151,601,600,11.737000,53.565000,0.019529,0.089275
152,601,600,21.894000,157.079000,0.036429,0.261798
153,601,600,20.849000,158.037000,0.034691,0.263395
154,601,600,11.695000,157.700000,0.019459,0.262833
155,601,600,11.779000,55.800000,0.019599,0.093000
156,601,600,12.839000,56.805000,0.021363,0.094675
