Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,8375,8374,1290.757506,3897.359205,0.154120,0.465412
2,3815,3814,370.010102,811.006137,0.096988,0.212639
3,8623,8622,683.520679,2610.111129,0.079267,0.302727
4,262,261,14.435617,17.646793,0.055098,0.067612
5,2,1,0.608905,0.217039,0.304453,0.217039
6,9210,9209,617.343759,2986.358476,0.067030,0.324287
7,1333,1332,62.003757,128.635088,0.046514,0.096573
8,1994,1993,105.331430,229.338668,0.052824,0.115072
9,8137,8136,456.785108,2327.540059,0.056137,0.286079
10,8043,8042,465.133177,2414.787601,0.057831,0.300272
11,2,1,1.214763,0.111369,0.607382,0.111369
12,10818,10817,660.565435,4169.030333,0.061062,0.385415
13,3699,3698,212.854169,609.663149,0.057544,0.164863
14,4919,4918,286.037219,935.572202,0.058149,0.190234
15,7161,7160,472.121840,1824.457299,0.065930,0.254812
16,8226,8225,511.267055,2411.235799,0.062153,0.293159
17,5741,5740,360.593585,1216.305665,0.062810,0.211900
18,7591,7590,544.623692,2072.916547,0.071746,0.273112
19,4502,4501,291.855995,847.859580,0.064828,0.188371
20,14996,14995,1039.206551,8077.785662,0.069299,0.538699
21,9756,9755,693.207640,3494.939497,0.071054,0.358272
22,11869,11868,877.203469,4985.281085,0.073907,0.420061
23,998,997,76.407439,83.217770,0.076561,0.083468
24,13661,13660,1116.641978,6613.057940,0.081739,0.484118
25,6652,6651,525.832785,1688.991475,0.079049,0.253945
26,3637,3636,280.052728,584.041656,0.077001,0.160628
27,1344,1343,101.906360,116.716224,0.075823,0.086907
28,2514,2513,262.982705,295.066535,0.104607,0.117416
29,10818,10817,881.431366,4083.489269,0.081478,0.377507
30,13974,13973,1204.421809,6918.599818,0.086190,0.495141
31,10648,10647,899.731201,4062.304962,0.084498,0.381545
32,7472,7471,676.030074,2097.939275,0.090475,0.280811
33,6192,6191,557.520623,1594.790485,0.090039,0.257598
34,12808,12807,1097.446426,5770.631279,0.085684,0.450584
35,1448,1447,114.506490,136.494226,0.079079,0.094329
36,4871,4870,405.590570,949.678743,0.083266,0.195006
37,5262,5261,457.310970,1081.178590,0.086908,0.205508
38,17811,17810,1512.083161,11483.136679,0.084896,0.644758
39,6420,6419,545.611320,1646.956554,0.084986,0.256575
40,2,1,0.282824,0.176538,0.141412,0.176538
41,8150,8149,715.600590,2433.567717,0.087804,0.298634
42,2,1,0.610692,0.171369,0.305346,0.171369
43,10712,10711,944.616001,4082.375363,0.088183,0.381139
44,5182,5181,434.382276,1084.241811,0.083825,0.209273
45,1665,1664,137.509727,170.327265,0.082588,0.102360
46,1286,1285,123.217549,118.094054,0.095815,0.091902
47,2,1,0.595855,0.210941,0.297928,0.210941
48,2886,2885,243.793469,378.665258,0.084475,0.131253
49,6699,6698,564.054911,1670.732621,0.084200,0.249438
50,5525,5524,469.552659,1249.188193,0.084987,0.226138
