Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,16424,8374,1320.674059,883.425988,0.080411,0.105496
2,7547,3814,612.470768,331.425591,0.081154,0.086897
3,2,1,1.506632,0.277140,0.753316,0.277140
4,7476,3779,406.977291,191.929449,0.054438,0.050788
5,6511,3282,352.885651,166.289060,0.054198,0.050667
6,16180,8256,1112.848125,435.815602,0.068779,0.052788
7,24942,12878,1554.752347,604.190281,0.062335,0.046916
8,20088,10313,1350.393960,628.489988,0.067224,0.060942
9,15984,8166,1118.305258,407.026428,0.069964,0.049844
10,9175,4642,685.449757,229.251514,0.074708,0.049386
11,1456,730,111.068401,38.407811,0.076283,0.052613
12,18140,9300,1344.067056,454.447099,0.074094,0.048865
13,38606,20290,2950.519945,978.656524,0.076426,0.048233
14,7695,3889,623.169537,181.359774,0.080984,0.046634
15,21071,10831,1742.910034,842.968659,0.082716,0.077829
16,10002,5072,816.115621,249.236045,0.081595,0.049140
17,10053,5082,833.355731,266.694775,0.082896,0.052478
18,14007,7133,1153.469973,369.687957,0.082350,0.051828
19,8970,4541,736.394866,216.471194,0.082095,0.047670
20,2,1,0.904862,0.088495,0.452431,0.088495
21,2,1,0.398468,0.073216,0.199234,0.073216
22,6960,3509,604.498843,185.742686,0.086853,0.052933
23,21363,10989,1758.430738,558.719691,0.082312,0.050844
24,13482,6859,1098.997991,329.691863,0.081516,0.048067
25,2,1,0.836948,0.103468,0.418474,0.103468
26,10803,5476,870.156200,269.184043,0.080548,0.049157
27,3745,1876,304.153930,92.922507,0.081216,0.049532
28,13854,7056,1145.238259,352.684590,0.082665,0.049984
29,20102,10317,1647.675205,496.960145,0.081966,0.048169
30,13565,6899,1139.072294,338.247886,0.083971,0.049029
31,9985,5050,807.975051,313.383512,0.080919,0.062056
32,2239,1122,176.240413,58.843838,0.078714,0.052445
33,2,1,0.804091,0.153042,0.402046,0.153042
34,9828,4973,787.681329,251.550081,0.080147,0.050583
35,13886,7073,1157.492614,344.829918,0.083357,0.048753
36,7846,3957,611.820721,202.196388,0.077979,0.051098
37,13421,6841,1055.932627,342.567183,0.078678,0.050076
38,13383,6803,1026.976570,341.230462,0.076737,0.050159
39,2,1,0.801069,0.166383,0.400535,0.166383
40,10441,5288,858.823005,263.959906,0.082255,0.049917
41,15511,7918,1187.009720,403.202268,0.076527,0.050922
42,7507,3791,559.007156,188.985978,0.074465,0.049851
43,12724,6457,1056.804386,318.347387,0.083056,0.049303
44,2,1,0.792905,0.165601,0.396453,0.165601
45,2779,1394,204.537087,69.630817,0.073601,0.049950
46,17242,8824,1346.155206,454.613736,0.078074,0.051520
47,10807,5482,877.454692,278.615866,0.081193,0.050824
48,6876,3469,494.219308,180.726562,0.071876,0.052098
49,13159,6698,950.472415,347.293205,0.072230,0.051850
50,21346,10954,1509.735656,674.816832,0.070727,0.061605
